"Time";"Conducitvity";"Course";"Geohash";"Latitude";"Longitude";"MS5837Press";"MS5837Temperature";"Oxygen";"Speed";"TSYTemperatrue"
"2022-02-08 10:20:44";"34.990000 K";"0";"u1xwm461p";"54.548702";"10.769656";"1.693100";"5.230000";"11.964653";"0";"4.320000"
"2022-02-08 10:20:46";"35.020000 K";"0";"u1xwm461p";"54.548702";"10.769655";"1.702900";"5.230000";"11.974850";"0";"4.320000"
"2022-02-08 10:20:48";"35.030000 K";"0";"u1xwm461p";"54.548702";"10.769655";"1.693600";"5.230000";"11.982387";"0";"4.320000"
"2022-02-08 10:20:51";"35.030000 K";"0";"u1xwm461p";"54.548702";"10.769655";"1.706500";"5.220000";"11.963535";"0";"4.320000"
"2022-02-08 10:20:53";"35.030000 K";"0";"u1xwm461p";"54.548702";"10.769655";"1.693400";"5.210000";"12.005620";"0";"4.320000"
"2022-02-08 10:20:55";"35.050000 K";"0";"u1xwm461p";"54.548702";"10.769655";"1.708800";"5.210000";"12.008265";"0";"4.320000"
"2022-02-08 10:20:57";"35.030000 K";"0";"u1xwm461p";"54.548702";"10.769655";"1.691700";"5.210000";"12.003160";"0";"4.320000"
"2022-02-08 10:20:59";"35.000000 K";"0";"u1xwm461p";"54.548702";"10.769655";"1.709300";"5.200000";"12.016028";"0";"4.320000"
"2022-02-08 10:21:01";"35.060000 K";"0";"u1xwm461p";"54.548702";"10.769654";"1.696200";"5.200000";"12.021173";"0";"4.320000"
"2022-02-08 10:21:03";"35.030000 K";"0";"u1xwm461p";"54.548702";"10.769654";"1.702300";"5.200000";"12.010493";"0";"4.320000"
"2022-02-08 10:21:05";"35.030000 K";"0";"u1xwm461p";"54.548702";"10.769654";"1.704500";"5.200000";"12.030467";"0";"4.320000"
"2022-02-08 10:21:08";"35.030000 K";"0";"u1xwm461p";"54.548702";"10.769654";"1.698100";"5.200000";"12.030355";"0";"4.320000"
"2022-02-08 10:21:10";"35.060000 K";"0";"u1xwm461p";"54.548702";"10.769654";"1.707000";"5.200000";"12.034833";"0";"4.320000"
